Questions,Question,Category,Technology,Topic,Sub Topic,Type of Question,Are Qs Same?
What if data are not stored in the database and how do check. ,"What if data is not stored in the database, and how to check?",Tech,Database,Data Integrity,N/A,Theoretical,
"Polymorphism,encapsulation,abstract? explain?the concept.  ","Explain the concepts of Polymorphism, Encapsulation, Abstract.",Tech,Object-Oriented,OOP Concepts,N/A,Theoretical,
Sql query to show the studentname from table?start with s. ,Sql query to show the studentname from table start with s.,Tech,SQL,Query,Filtering,Code Based,
"Emp(id, name ,email) 2.address(id, emp_id,address, state, city) ","Emp(id, name, email) 2.address(id, emp_id, address, state, city) 2.address(id, emp_id, address, state, city)",Tech,N/A,Database Design,ER Diagram,Theoretical,
Add new emp  ,Add new emp,Tech,N/A,Programming,CRUD Operations,Code Based,
Introduction  ,Introduction,HR,N/A,N/A,N/A,Theoretical,
"How much do u rate yourself on java sql and spring between 1-10(1 being worst, and 10 excellent) ","How much do you rate yourself on Java, SQL, and Spring between 1-10 (1 being worst, and 10 excellent)",HR,"Java, SQL, Spring",Self-Assessment,N/A,Theoretical,
When do u you use class and when interface. ,When do you use class and when interface.,Tech,Programming,Java,Object-Oriented Programming,Theoretical,
Tree map and hash map(how do u implement hashmap and add? key values) ,Tree map and hash map (how do you implement hashmap and add key values),Tech,Java,Data Structures,Maps,Code Based,
Sql queries? ?- what is distinct ,Sql queries - what is distinct,Tech,SQL,Query,DISTINCT Keyword,Theoretical,
Query to find second?highest age in a table person ,Query to find second highest age in a table person,Tech,Database/SQL,Query Optimization,N/A,Code Based,
Joins ,Joins,Tech,Database/SQL,Joins,N/A,Theoretical,
Query on inner join ,Query on inner join,Tech,Database,SQL,N/A,Code Based,
Difference?between post and get request ,Difference between post and get request,Tech,Web Development,HTTP,N/A,Theoretical,
Can we send parameter as url ,Can we send parameter as URL,Tech,Web Development,HTTP,N/A,Theoretical,
What is the request?life cycle of get request ,What is the request life cycle of get request,Tech,Web Development,HTTP,N/A,Theoretical,
Dispatcher servlet(which i coudnt?answer properly as i was tensed and facing some network issue) ,Dispatcher servlet (which I couldn't answer properly due to tension and network issues),Tech,"Java, Servlet",Servlet Container,Dispatcher Servlet,Theoretical,
3 strengths and weakness ,3 strengths and weakness,HR,N/A,N/A,N/A,Theoretical,
How do u overcome your?weakness ,How do you overcome your weakness,HR,N/A,N/A,N/A,Theoretical,
Tell me something about? ? ? ? ?your self? ,Tell me something about yourself?,HR,N/A,N/A,N/A,Theoretical,
What is your capstone project and what are the technologies you are use? ,What is your capstone project and what technologies did you use?,Tech,Varies,Capstone Project,N/A,Theoretical,
What you know about the Oops concept? ,What do you know about the OOPs concept?,Tech,Programming,Object-Oriented Programming,N/A,Theoretical,
What is polymorphism and give example? ,What is polymorphism and give example?,Tech,Object-Oriented Programming,Polymorphism,N/A,Theoretical,
What module you have worked on your project and relatable questions of your project? ,What module have you worked on in your project and relatable questions of your project?,Tech,Project-specific,Project Modules,N/A,Theoretical/Project-specific,
6.? Write the sql queries that how to insert employee details? ,Write the SQL queries on how to insert employee details?,Tech,SQL,Database Management,Insertion,Code Based,
Intoduce yourself ,Introduce yourself,HR,N/A,Personal Introduction,N/A,Theoretical,
Why u switch your career in IT sector ,Why did you switch your career to the IT sector?,HR,N/A,Career Transition,N/A,Theoretical,
[ Explain breifly About OOPS ,Explain briefly about OOPS,Tech,Object-Oriented Programming,OOPs,N/A,Theoretical,
"Given a string, find the first non repeating character in it ","Given a string, find the first non-repeating character in it",Tech,String Manipulation,Algorithms,Searching,Code Based,
?Difference between Spring vs springboot ,Difference between Spring vs Spring Boot,Tech,Java/Spring Framework,Spring/Spring Boot,N/A,Theoretical,
What is GIT? How u will push the code ,What is GIT? How will you push the code?,Tech,Version Control System,GIT,N/A,Theoretical/Code Based,
Tell me something about your project. ,Tell me something about your project.,Tech,Project-specific,Project Overview,N/A,Theoretical,
What challenges did you faced during project? ,What challenges did you face during the project?,Non-Tech,N/A,Project Management,N/A,Theoretical,
How did you overcome those challenges? ,How did you overcome those challenges?,Non-Tech,N/A,Problem Solving,N/A,Theoretical,
Whose help you took for solving challanges? ,Whose help did you take for solving challenges?,Non-Tech,N/A,Collaboration,N/A,Theoretical,
What do you know about Allstate? ,What do you know about Allstate?,HR,N/A,Company Knowledge,N/A,Theoretical,
Introduction ,Introduction,HR,N/A,Self Introduction,N/A,Theoretical,
Count the number of orders for a product. Frame the table structure ,Count the number of orders for a product. Frame the table structure,Tech,"Database (e.g., SQL)",Database Design,N/A,Code Based,
One product table having product id and other product details and one order tablewith order id and product id ,One product table having product id and other product details and one order table with order id and product id,Tech,"Database (e.g., SQL)",Database Design,N/A,Theoretical,
Count the no of orders placed for particular order id ,Count the no of orders placed for a particular order id,Tech,"Database (e.g., SQL)",SQL Queries,N/A,Code Based,
Add a count column and increment by 1 every time the particular order is placed. ,Add a count column and increment by 1 every time the particular order is placed,Tech,"Database (e.g., SQL)",SQL Queries,N/A,Code Based,
Abstraction ,Abstraction,Tech,Software Development,Programming,Abstraction,Theoretical,
Dependency Injection  ,Dependency Injection,Tech,Software Development,Design Patterns,N/A,Theoretical,
Mutable and Immutable  ,Mutable and Immutable,Tech,Programming,Data Types,N/A,Theoretical,
*What is class?*?  ,What is class?,Tech,Programming,Object-Oriented Programming,N/A,Theoretical,
What is Object? ,What is Object?,Tech,Programming,Object-Oriented Programming,N/A,Theoretical,
What are the OOPS CONCEPTS? Explain each ,What are the OOPS CONCEPTS? Explain each,Tech,Programming,Object-Oriented Programming,N/A,Theoretical,
Exception ,Exception,Tech,Programming,Exception Handling,N/A,Theoretical,
Diff between error and exception ,Diff between error and exception,Tech,Programming,Exception Handling,N/A,Theoretical,
Throws and throw ,Throws and throw,Tech,Programming,Exception Handling,N/A,Theoretical,
What's finally? ,What's finally?,Tech,Programming,Exception Handling,N/A,Theoretical,
Constructer ,Constructor,Tech,Programming,Object-Oriented Programming,N/A,Theoretical,
*Code to reverse string*? ,Code to reverse string,Tech,Programming,String Handling,N/A,Code Based,
*Find in Mongo*   ,Find in Mongo,Tech,MongoDB,Database,N/A,Code Based,
Select all in mysql ,Select all in mysql,Tech,MySQL,Database,N/A,Code Based,
Update in mysql ,Update in mysql,Tech,MySQL,Database,N/A,Code Based,
Tell me About Your Self,Tell me About Your Self,HR,N/A,N/A,N/A,Theoretical,
About Project ,About Project,HR,N/A,N/A,N/A,Theoretical,
Technology Lerned,Technology Learned,Tech,N/A,N/A,N/A,Theoretical,
Technology use,Technology use,Tech,N/A,N/A,N/A,Theoretical,
Diff bet mysql and mongodb,Diff bet mysql and mongodb,Tech,"MySQL, MongoDB",Database,N/A,Theoretical,
Diff bet hashtable and hash map,Diff bet hashtable and hashmap,Tech,Data Structures,Hashing,N/A,Theoretical,
What is hashtable,What is hashtable,Tech,Data Structures,Hashtable,N/A,Theoretical,
Sql qurry,Sql qurry,Tech,Database,SQL Query,N/A,Code Based,
How do you measure 4 litter of water from a 5 liter and 3 liter jug?,How do you measure 4 liters of water from a 5-liter and 3-liter jug?,Non-Tech,N/A,Logical Reasoning,N/A,Theoretical,
Q1. Tell me about yourself. ,Q1. Tell me about yourself.,HR,N/A,Personal Introduction,N/A,Theoretical,
Q2. Tell about project.,Q2. Tell about the project.,Tech,Varies,Project Overview,N/A,Theoretical,
Q3. Push notifications in project.,Q3. Push notifications in the project.,Tech,Varies,Push Notifications,N/A,Theoretical,
Q4. Equals() and hashcode(),Q4. Equals() and hashcode(),Tech,Programming,Object Comparison,Equals() and hashcode(),Theoretical,
) Why you use both mysql & mongodb in project.  ,Why do you use both MySQL & MongoDB in the project?,Tech,Databases,Database Usage,MySQL & MongoDB,Theoretical,
2)Which is better my sql & mongodb ,Which is better: MySQL & MongoDB?,Tech,Databases,Database Comparison,MySQL & MongoDB,Theoretical,
3)what is docker ,What is Docker?,Tech,DevOps,Containerization,Docker,Theoretical,
4)what is best wat to trouble shoot ,What is the best way to troubleshoot?,Tech,N/A,Troubleshooting,N/A,Theoretical,
5) difference between primary key and uniq?key ,Difference between primary key and unique key?,Tech,Database,Database Concepts,N/A,Theoretical,
6) what is loosely?coupled & tightly coupled ,What is loosely coupled and tightly coupled?,Tech,Software Engineering,Software Architecture,N/A,Theoretical,
7)what is difference between super class & sub class ,Difference between super class and sub class?,Tech,Programming (OOP),Object-Oriented Design,N/A,Theoretical,
8)overloading & overriding ,Overloading and overriding?,Tech,Programming (OOP),Object-Oriented Design,N/A,Theoretical,
9) questions on oops ,Questions on OOPs?,Tech,Programming (OOP),Object-Oriented Design,N/A,Theoretical,
"Tell me about your project, ",Tell me about your project.,Non-Tech,N/A,Project Description,N/A,Theoretical,
Why u switch your career in IT sector ,Why did you switch your career to the IT sector?,HR,N/A,Career Transition,N/A,Theoretical,
"What are the technologies used?in projects,  ",What technologies were used in your projects?,Tech,N/A,Project Technologies,N/A,Theoretical,
What challenges did you faced during project? ,What challenges did you face during the project?,Tech,N/A,Project Challenges,N/A,Theoretical,
How?to store data in a database. ,How to store data in a database.,Tech,Database,Data Storage,N/A,Theoretical,
What if data are not stored in the database and how do check. ,What if data are not stored in the database and how do check.,Tech,Database,Data Validation,N/A,Theoretical,
"Polymorphism, encapsulation, abstract? explain?the concept.  ","Polymorphism, encapsulation, abstract explain the concept.",Tech,Programming Concepts,Object-Oriented Programming,"Polymorphism, Encapsulation, Abstract",Theoretical,
Sql query to show the studentname from table?start with s. ,SQL query to show the studentname from table start with s.,Tech,SQL,Querying Databases,Filtering Data,Code Based,
"Insert into emp(,""kasuhal"", ""nayakkaushal2@gmail.com""); ","Insert into emp(,""kasuhal"", ""nayakkaushal2@gmail.com"");",Tech,SQL,Database Operations,Inserting Data,Code Based,
"How much do u rate yourself on java sql and spring between 1-10(1 being worst, and 10 excellent) ","How much do u rate yourself on java sql and spring between 1-10(1 being worst, and 10 excellent)",HR,N/A,Self-assessment,N/A,Theoretical,
When do u you use class and when interface. ,When do u you use class and when interface.,Tech,Programming Concepts,Object-Oriented Programming,Class vs. Interface,Theoretical,
Tree map and hash map(how do u implement hashmap and add? key values) ,Tree map and hash map(how do u implement hashmap and add key values),Tech,Data Structures,Maps,"TreeMap, HashMap",Theoretical and Code Based,
